CN,Realization,diameter,H,albedo,taxonomy,density,porosity,strength,base_density,mass,a,b,c
NA,672058,147.72518283120982,21.452581553729605,0.2123773845354095,S,1648.649276486021,0.4508040685554348,104222.71934608497,3001.9327931828147,2782854544.995515,116.31187203334838,115.07866261856977,240.84894961459148
NA,470057,146.08866662210067,21.98871173596461,0.1325354988530511,S,1803.240856566263,0.491201692294781,114149.91687697456,3544.1172450027125,2943756861.1361294,118.30050896735683,116.86767838939026,225.51142319452936
NA,525101,151.54366375665262,21.81260730787827,0.14485432724058628,S,2378.201611135943,0.30725924517097547,1437736.0500543409,3433.0326237596737,4333717914.078066,121.54456805084472,122.54311829269344,233.66241768364424
NA,421744,149.59798422347734,22.135525829747852,0.11040484865917824,S,1790.5048042557598,0.4613500767254844,287084.9594243852,3324.0602604583555,3138711060.391881,119.224995921268,115.62447711514127,242.8623129728065
NA,584159,149.18346249032203,21.677895502353852,0.16921949531533753,S,2341.6896675307325,0.2432950811482606,2079427.167781268,3094.587611620294,4070896025.1326303,111.1678350012169,123.99401827034764,240.8696968138928
NA,903974,149.15138275241875,20.954668428363934,0.3295550891336752,S,2315.1294445990397,0.30426498523653855,1023641.1127133853,3327.602313340728,4022126752.4389977,111.9142230162448,119.9630993839153,247.1433278684133
NA,648732,152.78199123696837,21.48660844971921,0.1924253344433382,S,2850.933232379449,0.10866505595489044,6348042.6436829865,3198.4982204794674,5323560164.897768,120.6178145490026,122.6925676614883,240.983211241052
NA,542993,148.76068522849053,21.78342228941708,0.15442041163183748,S,2659.851773370713,0.11675354174191094,7041446.05453622,3011.4491244226324,4584801821.495353,123.45678562676198,114.26808575792354,233.3590204518277
NA,695849,156.53631463285998,21.31644820820504,0.2144077447758289,S,2590.6835467496294,0.203001118338643,4195628.839129845,3250.5485344588033,5203053649.654417,122.74081683183256,131.91641667706756,236.89585386475767
NA,600038,147.4699951833041,21.62940345987916,0.18108448645295577,S,2690.456374369275,0.19889044833411915,5798377.762553275,3358.4125526584476,4517889190.796124,120.5835837969988,117.525936919168,226.3023630954418
